code_module,n_students,n_high_risk,n_medium_risk,n_low_risk,avg_risk_probability,actual_at_risk_rate,pct_high_risk,pct_medium_risk,pct_low_risk,n_feedback,n_accessibility_flags,avg_accessibility_flag_rate,accessibility_flag_rate
AAA,748,86,171,491,0.36789748119910315,0.29010695187165775,0.115,0.229,0.656,20,3,0.1666,0.15
BBB,7909,2525,1972,3412,0.5215553816360196,0.5253508661019092,0.319,0.249,0.431,20,3,0.2,0.15
CCC,4434,2004,857,1573,0.5475071001784894,0.6215606675687867,0.452,0.193,0.355,0,0,,
DDD,6272,2268,1667,2337,0.5323619959528667,0.5838647959183674,0.362,0.266,0.373,2,0,0.0,0.0
EEE,2934,785,711,1438,0.48722569564931517,0.4376278118609407,0.268,0.242,0.49,4,0,0.0,0.0
FFF,7762,2188,1776,3798,0.4775178876166354,0.5300180365885081,0.282,0.229,0.489,6,0,0.0,0.0
GGG,2534,681,993,860,0.5043849917360205,0.40252565114443567,0.269,0.392,0.339,8,2,0.2857142857142857,0.25
